# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.total.get.count,1732551822026000000,1732551834725000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1732551822026000000,1732551834725000000,0
workspaceModel.loading.from.cache.ms,1732551822026000000,1732551834725000000,2
workspaceModel.to.snapshot.ms,1732551822026000000,1732551834725000000,0
workspaceModel.cachedValue.total.get.count,1732551822026000000,1732551834725000000,7
workspaceModel.full.replace.project.model.ms,1732551822026000000,1732551834725000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1732551822026000000,1732551834725000000,0
workspaceModel.cachedValue.clear.count,1732551822026000000,1732551834725000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1732551822026000000,1732551834725000000,5
workspaceModel.cachedValueWithParameters.clear.count,1732551822026000000,1732551834725000000,0
workspaceModel.replace.project.model.ms,1732551822026000000,1732551834725000000,0
workspaceModel.initializing.ms,1732551822026000000,1732551834725000000,0
workspaceModel.collect.changes.ms,1732551822026000000,1732551834725000000,0
workspaceModel.cachedValue.calculated.count,1732551822026000000,1732551834725000000,1
workspaceModel.cachedValue.from.cache.count,1732551822026000000,1732551834725000000,6
workspaceModel.updates.precise.ms,1732551822026000000,1732551834725000000,0
workspaceModel.check.recursive.update.ms,1732551822026000000,1732551834725000000,0
workspaceModel.update.unloaded.entities.ms,1732551822026000000,1732551834725000000,0
workspaceModel.on.changed.ms,1732551822026000000,1732551834725000000,0
workspaceModel.updates.ms,1732551822026000000,1732551834725000000,0
workspaceModel.on.before.changed.ms,1732551822026000000,1732551834725000000,0
workspaceModel.init.bridges.ms,1732551822026000000,1732551834725000000,0
workspaceModel.loading.total.ms,1732551822026000000,1732551834725000000,8
workspaceModel.pre.handlers.ms,1732551822026000000,1732551834725000000,0
workspaceModel.updates.count,1732551822026000000,1732551834725000000,0
NonBlockingReadAction.failedExecutionTimeUs,1732551822026000000,1732551834725000000,0
AWTEventQueue.dispatchTimeTotalNS,1732551822026000000,1732551834725000000,9959460000
NonBlockingReadAction.finalizedExecutionsCount,1732551822026000000,1732551834725000000,25
NonBlockingReadAction.finalizedExecutionTimeUs,1732551822026000000,1732551834725000000,367954
NonBlockingReadAction.failedExecutionsCount,1732551822026000000,1732551834725000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1732551822026000000,1732551834725000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1732551822026000000,1732551834725000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1732551822026000000,1732551834725000000,0
