# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.app.storage.content.writer.save.component.ms,1732556570013000000,1732556584512000000,18
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1732556570013000000,1732556584512000000,0
jps.library.entities.serializer.save.entities.ms,1732556570013000000,1732556584512000000,0
jps.global.get.library.by.name.ms,1732556570013000000,1732556584512000000,0
workspaceModel.global.updates.ms,1732556570013000000,1732556584512000000,7
jps.save.global.entities.ms,1732556570013000000,1732556584512000000,53
workspaceModel.mutableEntityStorage.entities.by.source.ms,1732556570013000000,1732556584512000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1732556570013000000,1732556584512000000,3
workspaceModel.global.apply.state.to.project.ms,1732556570013000000,1732556584512000000,0
jps.load.initial.state.ms,1732556570013000000,1732556584512000000,21
workspaceModel.moduleManagerBridge.load.all.modules.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1732556570013000000,1732556584512000000,10
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1732556570013000000,1732556584512000000,6
workspaceModel.mutableEntityStorage.to.snapshot.ms,1732556570013000000,1732556584512000000,0
workspaceModel.do.save.caches.ms,1732556570013000000,1732556584512000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1732556570013000000,1732556584512000000,0
jps.library.entities.serializer.load.entities.ms,1732556570013000000,1732556584512000000,1
jps.global.initialize.library.bridges.ms,1732556570013000000,1732556584512000000,0
