# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskExecutionTotalTimeUs,1732550063104000000,1732550077038000000,1108
writeAction.count,1732550063104000000,1732550077038000000,3
writeAction.median.wait.ms,1732550063104000000,1732550077038000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1732550063104000000,1732550077038000000,1151
DiskQueryRelay.tasksExecuted,1732550063104000000,1732550077038000000,2
writeAction.max.wait.ms,1732550063104000000,1732550077038000000,1
writeAction.wait.ms,1732550063104000000,1732550077038000000,1
DiskQueryRelay.tasksRequested,1732550063104000000,1732550077038000000,2
VFS.invertedFileNameIndex.requests,1732550063104000000,1732550077038000000,0
VFS.fileByIdCache.misses,1732550063104000000,1732550077038000000,0
VFS.fileByIdCache.hits,1732550063104000000,1732550077038000000,0
VFS.fileChildByName,1732550063104000000,1732550077038000000,13
Indexing.writer_0.totalTimeSpentWritingMs,1732550063104000000,1732550077038000000,0
Indexing.cache.totalCacheEvicted,1732550063104000000,1732550077038000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1732550063104000000,1732550077038000000,0
Indexing.cache.totalCacheMisses,1732550063104000000,1732550077038000000,0
Indexing.cache.totalCacheAccesses,1732550063104000000,1732550077038000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1732550063104000000,1732550077038000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1732550063104000000,1732550077038000000,0
Indexing.totalTimeIndexersSleptMs,1732550063104000000,1732550077038000000,0
Indexing.writesQueuedMin,1732550063104000000,1732550077038000000,0
Indexing.writesQueuedMax,1732550063104000000,1732550077038000000,0
Indexing.writesQueuedAvg,1732550063104000000,1732550077038000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1732550063104000000,1732550077038000000,0
NonBlockingReadAction.failedExecutionsCount,1732550063104000000,1732550077038000000,0
NonBlockingReadAction.finalizedExecutionsCount,1732550063104000000,1732550077038000000,25
